"latitude","longitude","date"
45.4861,-122.277,"7/15/1970"
45.83675,-119.6389,"3/31/1995"
NA,NA,""
44.6335,-121.8165,"8/15/1970"
44.23861,-122.0505,"3/19/1977"
NA,NA,""
NA,NA,""
NA,NA,""
45.2075,-121.886,"8/23/1968"
NA,NA,""
44.825,-118.415,"11/15/1973"
44.39104,-118.9491,"8/25/1976"
43.8628,-121.8829,"7/15/1963"
44.1263,-121.3338,"5/15/1976"
43.48257,-121.9104,"8/15/1978"
NA,NA,""
43.5705,-121.8955,"8/15/1980"
44.16966,-121.5014,"9/15/1982"
NA,NA,""
43.7151,-121.6347,"7/15/1990"
44.2157,-121.4755,"4/15/1994"
43.94225,-121.3815,"7/5/1995"
NA,NA,""
NA,NA,""
NA,NA,""
44.56625,-121.6384,"7/9/2005"
43.97603,-121.7828,"9/1/2012"
43.98136,-121.4705,"11/15/2013"
43.31815,-122.1954,"7/15/1956"
43.40867,-122.8887,"11/15/1970"
43.6744,-123.2675,"7/1/1977"
43.7827,-123.9599,"6/25/1978"
43.20335,-122.3759,"9/1/1980"
43.225,-123.175,"9/5/1980"
44.55505,-123.3604,"10/4/1980"
43.16815,-123.4911,"7/1/1989"
NA,NA,""
43.5251,-123.311,"10/15/1991"
43.2073,-123.5585,"8/20/2002"
43.3029,-123.1611,"10/15/2002"
43.3622,-122.1814,"8/28/2004"
43.296,-122.5541,"9/28/2004"
43.61538,-123.5036,"11/15/2006"
44.7751,-118.7717,"7/4/1997"
44.5385,-118.5908,"8/15/2003"
44.9723,-118.3692,"9/15/2004"
43.85975,-118.8215,"7/2/2003"
45.3725,-121.5835,"10/14/1970"
45.5666,-121.7745,"10/1/1974"
NA,NA,""
45.5775,-121.6444,"7/27/1980"
45.54478,-121.5449,"7/31/1982"
NA,NA,""
NA,NA,""
45.49805,-121.8214,"7/1/1994"
45.25725,-121.5684,"9/15/1996"
45.274,-121.6796,"9/8/2001"
45.63923,-121.8735,"9/24/2002"
45.38736,-121.5134,"5/23/2008"
42.4356,-122.2328,"10/1/1979"
NA,NA,""
42.08845,-122.7465,"9/23/1995"
NA,NA,""
42.2356,-123.0137,"9/15/2003"
42.6,-122.475,"7/3/2004"
42.12363,-122.339,"10/21/2011"
44.42565,-121.726,"10/24/2002"
NA,NA,""
42.375,-123.3833,"7/1/1975"
42.02106,-123.2725,"10/25/1975"
42.1533,-123.5381,"9/1/1976"
42.16298,-123.6481,"7/1/1978"
42.56805,-123.3322,"10/1/1978"
NA,NA,""
NA,NA,""
42.09224,-123.4043,"7/30/2000"
42.39031,-123.449,"6/8/2002"
42.24165,-123.6416,"7/20/2002"
42.0833,-123.3333,"4/15/2005"
42.354,-123.4034,"6/15/2005"
42.16024,-123.6216,"11/15/2006"
42.22501,-123.75,"2/18/2009"
42.125,-123.2916,"3/2/2009"
NA,NA,""
42.8673,-122.1629,"7/1/1983"
NA,NA,""
NA,NA,""
42.47,-122.275,"8/15/1998"
43.08929,-122.0802,"9/19/2004"
42.23865,-121.9446,"1/16/2006"
42.36945,-121.3866,"12/10/2009"
44.15568,-121.9531,"5/1/1977"
43.9311,-124.1214,"12/18/1978"
43.69005,-122.3755,"8/12/1983"
44.09462,-123.3724,"8/12/1983"
44.19167,-123.975,"8/17/1984"
NA,NA,""
43.6947,-122.0449,"10/15/1992"
43.7667,-123.455,"7/15/1999"
44.27795,-121.9524,"7/15/2000"
43.5883,-122.0833,"9/10/2000"
43.6165,-122.1,"11/8/2003"
43.6583,-122.8042,"7/17/2004"
NA,NA,""
NA,NA,""
44.05917,-122.9343,"1/20/2016"
43.85062,-122.7085,"7/23/2019"
NA,NA,""
NA,NA,""
44.6616,-122.8494,"7/15/2001"
44.4625,-121.9683,"8/31/2004"
44.40946,-122.1322,"8/31/2012"
NA,NA,""
44.8633,-122.6397,"7/15/1976"
44.8623,-122.2728,"7/15/1977"
45.03575,-122.7789,"7/15/1980"
44.915,-122.585,"10/15/1995"
NA,NA,""
44.79307,-122.5674,"7/10/2002"
44.7679,-122.095,"6/15/2003"
44.699,-122.1874,"6/21/2005"
45.11259,-122.7875,"11/13/2006"
45.5145,-122.3352,"10/15/1979"
45.63893,-122.8889,"10/15/1994"
45.65125,-121.9123,"7/10/1995"
45.55364,-122.1884,"1/9/2002"
45.4684,-122.2487,"9/5/2002"
NA,NA,""
44.8458,-123.5834,"10/15/1991"
44.86875,-123.4462,"10/15/2000"
45.06215,-123.7027,"10/30/2000"
45.07072,-123.6664,"9/1/2001"
45.0487,-123.5792,"7/24/2003"
45.0608,-123.694,"12/8/2003"
NA,NA,""
45.145,-123.972,"8/14/1995"
45.75449,-123.866,"9/13/1997"
45.59669,-123.3768,"11/10/1997"
45.5891,-123.5469,"8/2/1998"
45.7351,-123.466,"8/19/2000"
45.61308,-123.3973,"8/18/2012"
NA,NA,""
45.59864,-123.6113,"7/9/2014"
NA,NA,""
44.0639,-120.2782,"11/4/1989"
43.2547,-124.0598,"8/15/1949"
45.82565,-123.296,"11/9/2003"
46.2262,-124.0133,"2/15/1978"
NA,NA,""
NA,NA,""
44.68557,-118.0891,"4/10/1991"
NA,NA,""
40.04755,-80.25645,"10/1/1978"
NA,NA,""
NA,NA,""
41.70813,-77.99314,"11/28/1987"
NA,NA,""
NA,NA,""
40.8495,-75.327,"11/17/2017"
41.845,-77.7011,"10/26/1996"
NA,NA,""
41.7655,-77.8768,"5/9/2004"
41.94126,-77.62891,"10/11/2021"
NA,NA,""
NA,NA,""
41.79985,-75.9799,"12/19/2008"
41.50383,-75.23662,"1/19/2014"
40.32247,-79.16817,"9/14/1967"
NA,NA,""
40.5258,-79.6575,"9/2/2006"
40.43163,-79.58031,"2/16/2014"
NA,NA,""
45.0018,-117.2022,"5/20/1996"
NA,NA,""
44.58335,-123.4166,"8/24/2002"
44.6693,-123.2433,"3/13/2005"
44.50455,-123.5524,"6/13/2009"
45.4237,-122.3876,"6/25/1971"
NA,NA,""
NA,NA,""
45.3894,-122.4163,"8/29/1978"
NA,NA,""
45.0837,-122.4888,"8/15/1984"
NA,NA,""
44.99745,-122.1647,"7/4/1991"
45.33,-121.9165,"6/15/1993"
