"latitude","longitude"
32.31565,-95.48672
30.61667,-95.52722
30.75,-95.37666
30.52361,-95.58334
30.6,-95.63
29.17805,-96.29222
30.51559,-97.67403
30.77532,-97.93719
NA,NA
NA,NA
35.129,-84.8215
36.4583,-83.92841
NA,NA
33.16972,-99.18778
32.84,-97.445
30.566,-100.545
32.24271,-95.12872
30.43703,-95.12381
31.1659,-94.1679
31.56,-93.87194
31.87791,-94.89986
35.93985,-100.6767
33.64555,-95.16028
34.93243,-101.667
30.73861,-94.89778
30.71139,-94.70139
32.75,-97.75
32.1,-94.20695
32.8269,-98.3298
30.12615,-93.8117
32.85,-98.375
32.83333,-98.38333
32.817,-98.34489
32.04361,-94.37444
32.05806,-94.2
32.01083,-94.14306
32.7,-98.03333
32.78611,-97.83334
32.755,-98
32.675,-97.61
32.675,-97.61
32.64,-97.84
32.66908,-98.03284
31.27278,-102.6922
31.06278,-102.3881
30.71139,-94.58
30.66986,-94.66653
33.67056,-95.06667
33.66666,-95.27361
33.845,-95.19722
31.91708,-94.63458
32.27444,-94.965
32.35306,-94.90528
32.28944,-94.86833
32.33528,-94.7375
32.01667,-94.68333
31.86794,-94.95061
32.19417,-94.70779
NA,NA
30.63333,-95.3
30.475,-95.09167
30.55,-95.12305
30.46,-95.13
30.31363,-95.17966
30.3115,-95.3175
32.13972,-95.32
32.18333,-95.21667
32.51556,-95.41817
NA,NA
32.19202,-95.35257
32.675,-97.025
30.8,-93.7
31.33333,-94.33334
33.211,-94.0765
31.4771,-98.53998
28.8,-96.04472
33.45278,-101.5361
31.40444,-95.70861
30.40335,-97.2836
31.11611,-98.055
NA,NA
29.24665,-100.4104
32.15,-97.52499
32.17194,-97.54944
33.82722,-95.62861
33.82083,-95.83639
31.18523,-95.89323
30.302,-95.10654
30.26667,-94.85
30.26861,-94.79333
30.10305,-94.82
30.08333,-94.86667
29.88528,-94.83334
30.41667,-94.86667
30.01667,-94.85
30.40833,-95.00833
32.79338,-94.69412
28.97944,-96.01666
29,-95.5
30.23333,-95.60834
30.31667,-95.32
30.405,-95.36166
30.3343,-95.28653
30.52694,-95.71278
30.14378,-95.47556
30.54366,-95.77908
NA,NA
NA,NA
NA,NA
30.52897,-95.72607
NA,NA
NA,NA
33.03333,-94.72334
30.76667,-93.68333
30.72028,-93.61667
30.77722,-103.7439
30.41667,-93.94
33.13333,-98.35
32.94722,-96.10222
32.24083,-101.3903
31.35833,-95.48833
33.33,-95.54278
32.53333,-98.05
NA,NA
32.16139,-95.6
36,-100.5
30.19144,-94.32404
29.385,-97.81083
32.4125,-94.81806
33.75556,-96.53
33.69,-96.84806
33.71472,-96.78917
33.81435,-96.76199
33.825,-96.6075
32.51667,-94.9
29.30877,-97.47971
32.68,-94.3
32.68945,-94.59222
32.8,-94.16666
32.62389,-94.52
32.62194,-94.2
32.65,-94.37361
32.58333,-94.15
32.475,-97.815
30.95972,-95.58334
31.50773,-95.20691
31.1683,-95.59745
31.55668,-95.38226
33.19944,-96.00306
33.25,-95.84
33.2,-96.17
33.2,-98.4
33.275,-98.325
33.375,-98.3
29.02611,-96.71
30.83315,-93.972
30.43444,-93.89
30.33778,-93.97194
30.7114,-94.04529
31.05591,-94.20776
29.32862,-97.77225
31.87333,-96.2
33.34139,-95.24917
33.46333,-95.8775
32.04417,-98.09234
32.5175,-96.80417
32.375,-98.68
33.62167,-100.8361
33.33614,-97.02299
33.48,-95.76861
29.57444,-98.03083
31.84167,-100.5167
33.675,-98.225
31.82347,-95.37101
31.90791,-95.01264
33.18528,-94.25556
33.05685,-94.52925
33.01,-94.44
32.9,-94.6
33.07639,-94.25694
33.09625,-94.32139
NA,NA
33.17162,-94.14799
33.2784,-94.12258
34.03789,-94.32321
34.125,-98.105
29.79893,-98.15556
29.52533,-98.15854
33.48028,-97.04361
33.81861,-96.96333
33.77528,-97.05903
31.37756,-97.59946
33.24722,-95.77
33.26222,-95.82056
33.27303,-97.03784
33.25,-97.05
33.04,-97.18
32.26889,-96.69583
32.36,-96.66
32.375,-96.63
33.59,-96.27306
33.61666,-95.90694
33.79094,-95.92831
NA,NA
33.445,-96.05
33.36867,-95.23958
31.93425,-96.12524
30.33333,-96.55
33.37917,-94.11611
32.15,-97.5
29.56835,-98.68465
31.30853,-94.76362
31.6212,-95.6669
37.182,-113.7382
40.028,-110.9315
40.5,-109.9
NA,NA
38.8204,-111.6631
39.48,-111.23
37.75705,-109.3125
40.60779,-111.6508
NA,NA
40.4871,-112.1402
38.54144,-112.0729
40.77988,-110.9325
NA,NA
40.825,-110.825
40.92128,-111.0837
NA,NA
40.98583,-110.3961
40.65,-110
40.75,-109.575
40.25622,-111.6068
40.3857,-111.6992
40.34937,-111.6956
40.26705,-111.5986
40.42,-111.63
40.0445,-111.5447
31.78333,-95.68333
NA,NA
31.2371,-94.45095
29.26258,-98.56143
33.28333,-94.35722
30.525,-96.59167
30.55738,-96.42506
NA,NA
40.9744,-111.8189
NA,NA
37.8058,-111.3481
39.64175,-111.2186
40.61087,-110.8139
40.915,-109.725
NA,NA
41.43135,-111.4988
NA,NA
NA,NA
36.76377,-81.9107
38.9593,-78.02081
36.7586,-76.0418
NA,NA
37.1694,-76.77447
37.12985,-76.82308
38.98773,-78.20517
38.89625,-78.1268
NA,NA
38.225,-112.35
41.6359,-111.6149
41.5343,-111.5281
41.96181,-111.5333
41.49955,-111.6348
41.7086,-112.0179
40.9,-109.75
40.86765,-109.5143
NA,NA
40.91689,-111.8038
40.61125,-110.3583
40.60353,-110.8055
NA,NA
39.58375,-111.1339
38,-112.5
NA,NA
40.9,-111.625
38.48342,-77.34673
36.73225,-81.62195
38.73048,-78.33453
36.8778,-82.4179
38.54602,-79.16096
37.75926,-79.5912
37.2423,-80.13276
38.52019,-77.36115
37.248,-77.354
36.5587,-79.36079
37.047,-77.90815
37.02759,-80.38748
37.72693,-76.6658
36.63931,-78.55758
38.02516,-77.97089
39.14588,-77.67422
37.15814,-80.36054
37.047,-77.90815
38.61792,-77.52767
NA,NA
37.29734,-79.85085
38.56546,-79.14478
38.36885,-78.5367
38.58125,-79.14795
38.57716,-79.11095
38.51591,-79.02109
